code,en_label,fr_label
1,Senior management occupations,Cadres supérieurs
2,Specialized middle management occupations,Cadres intermédiaires spécialisés
3,Middle management occupations in retail and wholesale trade and customer services,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle"
4,"Middle management occupations in trades, transportation, production and utilities","Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique"
5,Professional occupations in business and finance,Personnel professionnel en gestion des affaires et en finance
6,Administrative and financial supervisors and administrative occupations,Personnel de supervision du travail administratif et financier et personnel administratif
7,"Finance, insurance and related business administrative occupations","Personnel en finance, assurance et personnel assimilé en administration des affaires"
8,Office support occupations,Personnel de soutien de bureau
9,"Distribution, tracking and scheduling co-ordination occupations","Personnel de coordination de la distribution, du suivi et des horaires"
10,Professional occupations in natural and applied sciences,Personnel professionnel des sciences naturelles et appliquées
11,Technical occupations related to natural and applied sciences,Personnel technique assimilé aux sciences naturelles et appliquées
12,Professional occupations in nursing,Personnel professionnel en soins infirmiers
13,Professional occupations in health (except nursing),Personnel professionnel des soins de santé (sauf soins infirmiers)
14,Technical occupations in health,Personnel technique des soins de santé
15,Assisting occupations in support of health services,Personnel de soutien des services de santé
16,Professional occupations in education services,Personnel professionnel en services d'enseignement
17,"Professional occupations in law and social, community and government services","Personnel professionnel du droit et des services gouvernementaux, sociaux et communautaires"
18,"Paraprofessional occupations in legal, social, community and education services","Personnel paraprofessionnel des services juridiques, sociaux, communautaires et de l'enseignement"
19,Occupations in front-line public protection services,Personnel des services de protection publique de première ligne
20,"Care providers and educational, legal and public protection support occupations","Dispensateurs de soins et personnel de soutien en enseignement, en droit et en protection publique"
21,Professional occupations in art and culture,Personnel professionnel des arts et de la culture
22,"Technical occupations in art, culture, recreation and sport","Personnel technique des arts, de la culture, des sports et des loisirs"
23,Retail sales supervisors and specialized sales occupations,Personnel de supervision des ventes au détail et personnel des ventes spécialisées
24,Service supervisors and specialized service occupations,Personnel de supervision en services et personnel de services spécialisés
25,Sales representatives and salespersons - wholesale and retail trade,Représentants des ventes et vendeurs - commerce de gros et de détail
26,Service representatives and other customer and personal services occupations,Représentants de services et autre personnel de services à la clientèle et personnalisés
27,Sales support occupations,Personnel de soutien des ventes
28,"Service support and other service occupations, n.e.c.","Personnel de soutien en service et autre personnel de service, n.c.a."
29,"Industrial, electrical and construction trades","Personnel des métiers de l'électricité, de la construction et des industries"
30,Maintenance and equipment operation trades,Personnel des métiers d'entretien et d'opération d'équipement
31,"Other installers, repairers and servicers and material handlers","Personnel d'installation, de réparation et d'entretien et manutentionnaires"
32,Transport and heavy equipment operation and related maintenance occupations,Personnel en opération d'équipement de transport et de machinerie lourde et autre personnel assimilé à l'entretien
33,"Trades helpers, construction labourers and related occupations","Personnel de soutien des métiers, manuvres et aides d'entreprise en construction et autre personnel assimilé"
34,"Supervisors and technical occupations in natural resources, agriculture and related production","Superviseurs et métiers techniques dans les ressources naturelles, l'agriculture et la production connexe"
35,"Workers in natural resources, agriculture and related production","Personnel en ressources naturelles, en agriculture et en production connexe"
36,"Harvesting, landscaping and natural resources labourers","Manuvres à la récolte, en aménagement paysager et en ressources naturelles"
37,"Processing, manufacturing and utilities supervisors and central control operators","Personnel de supervision dans la transformation, la fabrication et les services d'utilité publique et opérateurs de poste central de contrôle"
38,Processing and manufacturing machine operators and related production workers,Opérateurs de machinerie reliée à la transformation et à la fabrication et autre personnel assimilé
39,Assemblers in manufacturing,Monteurs dans la fabrication
40,"Labourers in processing, manufacturing and utilities","Manuvres dans la transformation, la fabrication et les services d'utilité publique"
0,Not applicable,Indisponible
